valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,2.3655355,303.41766,297.88425,292.4137,73.86613,35.10167,0.0,4.7556086,20600000.0,16.422188,26.664253,14.0,77.6,Somandepalle,0.4892492,287.44733,-4.7556086,-135.5884702,-1.0288736704095838,Moderate,1.0
1979-01-31,2.4816391,304.72446,299.0154,292.47006,79.16938,31.899883,0.06,5.035169,21000000.0,16.370176,30.046091,14.0,77.6,Somandepalle,0.4144583,287.42267,-4.975169,-136.3929692,-1.099015926598002,Moderate,1.0
1979-02-01,1.9559789,304.2253,298.58096,292.87076,83.32799,33.32413,0.0,4.6728225,21000000.0,16.87841,28.240513,14.0,77.6,Somandepalle,0.21658865,287.87527,-4.6728225,-136.9717757,0.8883133301485697,Healthy,0.0
1979-02-02,2.4491622,305.2174,299.42148,292.40604,83.7998,29.178448,0.0,5.1990547,21900000.0,16.28618,31.443007,14.0,77.6,Somandepalle,0.11528408,287.31433,-5.1990547,-138.0766634,0.8452990454273801,Healthy,0.0
1979-02-03,2.5656419,304.16312,298.36838,293.58798,69.38726,33.22332,0.17,5.001456,20500000.0,16.794415,28.165085,14.0,77.6,Somandepalle,0.44078395,287.7971,-4.831456,-138.76844899999998,0.8176962237267354,Healthy,0.0
1979-02-04,3.6706934,302.7905,297.22147,290.85352,89.85019,36.297726,0.04,5.037711,20300000.0,17.232159,24.331387,14.0,77.6,Somandepalle,0.18782471,288.20486,-4.997711,-139.4648666,0.7893700381012705,Healthy,0.0
1979-02-05,3.4274263,303.53214,297.19016,290.66068,93.67107,31.736233,0.0,5.4165864,22400000.0,16.340794,27.028801,14.0,77.6,Somandepalle,0.054238714,287.37695,-5.4165864,-140.3019204,0.7545883672796417,Healthy,0.0
1979-02-06,3.0806184,303.94214,297.67242,290.47238,92.52326,30.74678,0.0,5.2146754,22200000.0,16.991072,27.40594,14.0,77.6,Somandepalle,0.14391091,287.94568,-5.2146754,-141.1600438,0.7180728835837592,Healthy,0.0
1979-02-07,2.374815,304.23422,298.4307,292.09375,93.89558,30.454098,0.0,4.9981184,21800000.0,16.728067,28.413748,14.0,77.6,Somandepalle,0.31869325,287.62057,-4.9981184,-141.8568332,0.6877642727629532,Healthy,0.0
1979-02-08,2.8591442,304.6905,299.25043,292.84778,83.89155,29.603489,0.0,5.116152,20100000.0,17.46732,28.859638,14.0,77.6,Somandepalle,0.26472878,288.4051,-5.116152,-142.74153650000002,0.6484061885240687,Healthy,0.0
1979-02-09,1.9846337,304.69354,299.3035,293.51575,83.44397,28.230345,0.03,4.7219925,20400000.0,17.512691,28.822277,14.0,77.6,Somandepalle,0.4289636,288.4174,-4.6919925,-142.944378,0.6392412663198849,Healthy,0.0
1979-02-10,2.5304205,303.16037,298.7097,293.4407,85.5668,34.863457,0.15,4.4291887,17800000.0,18.543375,23.912542,14.0,77.6,Somandepalle,0.2439829,289.33942,-4.2791887,-142.7746097,0.6469154820176839,Healthy,0.0
1979-02-11,2.7415864,302.47473,298.26593,293.4356,90.788895,39.895805,0.6,4.3362136,17700000.0,18.977686,21.836973,14.0,77.6,Somandepalle,0.27310658,289.70148,-3.7362135999999997,-142.00180329999998,0.6813827389244919,Healthy,0.0
1979-02-12,2.0774906,302.77582,297.42838,292.7263,90.91347,37.337757,0.81,4.214692,18400000.0,18.511387,23.017067,14.0,77.6,Somandepalle,0.43247047,289.31607,-3.4046920000000003,-140.7667013,0.73492028530689,Healthy,0.0
1979-02-13,1.9924101,302.78787,297.55856,292.7438,88.523926,35.59431,0.46,4.2206135,18400000.0,17.937637,23.619629,14.0,77.6,Somandepalle,0.39026982,288.8155,-3.7606135,-139.7564538,0.7773460896877613,Healthy,0.0
1979-02-14,2.8134022,302.6237,298.14395,292.64615,84.80549,37.18947,0.44,4.5741854,18300000.0,17.780548,23.38591,14.0,77.6,Somandepalle,0.5170435,288.6948,-4.1341854,-139.08873260000001,0.8047369273046547,Healthy,0.0
1979-02-15,2.4649277,303.01468,298.18762,293.006,86.76884,35.429,0.09,4.5882764,18500000.0,17.425138,24.677309,14.0,77.6,Somandepalle,0.34662458,288.36972,-4.4982764,-138.8598724,0.8140087700031774,Healthy,0.0
1979-02-16,2.1694326,301.67267,297.60327,292.67017,84.767204,42.081104,0.79,4.148508,17700000.0,17.171375,21.793629,14.0,77.6,Somandepalle,0.41347802,288.1452,-3.3585079999999996,-137.685687,0.8606687365428847,Healthy,0.0
1979-02-17,2.6836576,303.78104,297.48755,290.81915,90.07035,24.701368,0.0,5.3600907,22700000.0,14.450367,29.540455,14.0,77.6,Somandepalle,0.09230129,285.4064,-5.3600907,-138.442356,0.8307731837565195,Healthy,0.0
1979-02-18,3.0210721,305.01953,298.27194,290.45163,96.48389,23.134693,0.0,5.6154013,23900000.0,17.296478,29.901844,14.0,77.6,Somandepalle,0.20622626,288.04138,-5.6154013,-139.7807833,0.7763384055631286,Healthy,0.0
1979-02-19,2.70416,302.99185,297.84686,293.5117,84.350334,41.854935,0.91,4.1358566,16000000.0,20.313898,21.733393,14.0,77.6,Somandepalle,0.5206309,290.7838,-3.2258566,-139.3176285,0.795404569097634,Healthy,0.0
1979-02-20,2.6822038,303.8437,298.36874,293.2846,87.68331,34.027164,0.01,4.96374,20500000.0,18.62784,25.520563,14.0,77.6,Somandepalle,0.41359884,289.35242,-4.95374,-139.23274849999999,0.798872151257821,Healthy,0.0
1979-02-21,2.19696,304.64832,299.36865,293.34546,94.36554,30.851946,0.0,5.1762166,22700000.0,17.653309,28.56298,14.0,77.6,Somandepalle,0.13867737,288.44403,-5.1762166,-139.7902801,0.7759448793727702,Healthy,0.0
1979-02-22,2.322294,305.82388,300.01242,293.96103,87.51369,27.439348,0.01,5.0499005,20600000.0,18.111074,31.277567,14.0,77.6,Somandepalle,0.2860492,288.87323,-5.0399005,-140.22556260000002,0.7577951015925674,Healthy,0.0
1979-02-23,2.4262106,305.80127,299.7561,293.70477,85.62125,30.23648,0.04,5.0179925,20200000.0,18.023643,31.302223,14.0,77.6,Somandepalle,0.31264338,288.78955,-4.9779925,-140.6841874,0.7384308177462465,Healthy,0.0
