valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,1.8446516,305.07883,299.55853,293.84802,81.856316,34.66771,0.0,4.510123,20508572.0,19.162603,28.19427,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.510123,-131.8170855,-0.37281603025182064,Moderate,1.0
1979-01-31,3.2935557,305.89706,300.09378,293.9603,83.163086,33.004784,0.0,5.4584837,20579322.0,18.848412,30.743816,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-5.4584837,-133.2623962,-0.520292333303364,Moderate,1.0
1979-02-01,1.9826852,305.33044,299.82755,294.923,82.05411,30.194086,0.02,4.793422,20910218.0,17.846502,30.18825,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.773422,-133.8438026,1.02530446370223,Healthy,0.0
1979-02-02,1.7044995,305.28256,299.95273,293.74716,93.36978,36.928665,0.03,4.3834558,20182458.0,20.579302,27.325804,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.3534558,-134.1793774,1.012075494946907,Healthy,0.0
1979-02-03,2.6664946,304.5981,299.67697,295.35367,77.20722,41.414608,0.23,4.811629,19112966.0,19.988174,26.096691,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.5816289999999995,-134.5406594,0.997690224954115,Healthy,0.0
1979-02-04,3.5793276,304.12173,299.0472,293.69418,88.977394,36.52218,0.02,4.7654862,16888210.0,19.81425,25.039444,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.7454862,-135.1203006,0.9742954269859686,Healthy,0.0
1979-02-05,3.757795,303.32718,298.6784,294.69757,85.10268,45.310574,0.62,4.47593,16039791.0,21.488626,21.375154,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-3.85593,-134.4302563,1.0021020242317067,Healthy,0.0
1979-02-06,3.7176123,303.57175,299.02277,294.57068,89.17846,41.63735,0.29,4.403896,15332200.0,21.56518,21.902765,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.1138959999999996,-134.32240030000003,1.0063985440110175,Healthy,0.0
1979-02-07,3.1510625,304.13565,299.2548,293.91458,90.42908,36.595264,0.01,4.9429665,19621392.0,19.782965,25.106287,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.9329665,-135.4622374,0.9603092740368783,Healthy,0.0
1979-02-08,2.6343715,304.7823,299.82288,294.11545,88.76249,36.083744,0.02,4.7786145,20112794.0,21.08545,25.483189,15.800000000004218,78.09999999998536,kurnool_balaji_villas,,,-4.7586145,-136.1832056,0.9303587125112834,Healthy,0.0
