valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,1.7250181,305.76498,300.1306,294.32523,78.65317,30.266275,0.0,4.555908,20500000.0,18.3289,30.896416,15.8,78.0,kurnool_dinedevarapadu,,,-4.555908,-137.1241515,-0.6238279501232427,Moderate,1.0
1979-01-31,3.0621457,306.64886,300.7339,294.40652,79.52999,30.308155,0.0,5.498106,20500000.0,18.542936,33.183304,15.8,78.0,kurnool_dinedevarapadu,,,-5.498106,-138.48975589999998,-0.7689037144382688,Moderate,1.0
1979-02-01,2.164194,305.54596,299.93744,295.08752,76.754845,27.830593,0.0,4.9800286,20700000.0,16.424685,32.197372,15.8,78.0,kurnool_dinedevarapadu,,,-4.9800286,-139.0912159,0.9992285700510235,Healthy,0.0
1979-02-02,1.6229203,306.0985,300.468,293.8744,88.75589,33.183662,0.03,4.447668,20200000.0,19.692854,30.463533,15.8,78.0,kurnool_dinedevarapadu,,,-4.417668,-139.3000173,0.9906577402896416,Healthy,0.0
1979-02-03,2.6025457,305.05014,300.0732,295.59793,75.79126,39.267277,0.17,4.8814335,19400000.0,19.87918,27.400932,15.8,78.0,kurnool_dinedevarapadu,,,-4.7114335,-139.6013408,0.9781916857856449,Healthy,0.0
1979-02-04,3.5915873,304.4655,299.49487,293.75677,87.00556,34.68667,0.07,4.9171224,17300000.0,19.534235,26.205011,15.8,78.0,kurnool_dinedevarapadu,,,-4.8471224,-140.0166832,0.9608172874710057,Healthy,0.0
1979-02-05,3.6915247,303.8014,299.05292,294.48376,87.53292,39.6893,0.62,4.660843,16500000.0,20.764317,23.277649,15.8,78.0,kurnool_dinedevarapadu,,,-4.040843,-139.21347219999998,0.9942168880249271,Healthy,0.0
1979-02-06,3.5538664,304.73077,299.53445,294.2917,91.11923,35.26612,0.16,4.612934,15700000.0,21.164682,25.268202,15.8,78.0,kurnool_dinedevarapadu,,,-4.452934,-139.1802832,0.9955792715003483,Healthy,0.0
1979-02-07,3.1039383,305.01575,299.83405,293.85657,91.07941,33.15977,0.06,5.0438786,19400000.0,19.688107,27.500122,15.8,78.0,kurnool_dinedevarapadu,,,-4.983878600000001,-140.16105710000002,0.9547253061969242,Healthy,0.0
1979-02-08,2.4258304,305.47162,300.35193,294.44937,90.74845,32.173565,0.0,4.8321676,20200000.0,20.72762,27.691143,15.8,78.0,kurnool_dinedevarapadu,,,-4.8321676,-140.776703,0.92843755569541,Healthy,0.0
1979-02-09,2.928815,305.49588,300.33716,294.2151,92.56754,30.556791,0.11,4.8545866,18500000.0,20.936092,27.54895,15.8,78.0,kurnool_dinedevarapadu,,,-4.7445866,-140.86635189999998,0.9245671591967979,Healthy,0.0
1979-02-10,3.2577562,304.56314,300.1133,294.65106,90.03025,36.914864,0.42,4.8412223,18100000.0,20.842264,25.15122,15.8,78.0,kurnool_dinedevarapadu,,,-4.4212223,-140.8667802,0.9245486421054264,Healthy,0.0
1979-02-11,3.6144907,305.0638,300.173,294.5844,92.196754,36.030945,0.17,5.040833,17800000.0,20.852072,26.464628,15.8,78.0,kurnool_dinedevarapadu,,,-4.870833,-141.16763350000002,0.9114797257189333,Healthy,0.0
1979-02-12,3.467104,304.77573,299.2584,294.6588,89.55884,38.247845,0.36,5.138774,18800000.0,20.238487,26.312847,15.8,78.0,kurnool_dinedevarapadu,,,-4.778773999999999,-141.2314579,0.9086912570923174,Healthy,0.0
1979-02-13,2.7698514,304.1374,299.47614,294.55878,89.914215,40.569756,0.4,4.6477456,18600000.0,20.780388,24.113304,15.8,78.0,kurnool_dinedevarapadu,,,-4.2477456,-140.7509765,0.9295462315802018,Healthy,0.0
1979-02-14,4.0245376,304.57535,300.10312,294.305,85.67698,35.427933,0.51,5.314388,18100000.0,19.593775,26.431585,15.8,78.0,kurnool_dinedevarapadu,,,-4.804388,-140.5704082,0.9373026577163766,Healthy,0.0
1979-02-15,3.4649434,304.12613,299.7975,295.03195,78.30944,36.525894,0.82,5.1311994,18300000.0,19.25478,25.610153,15.8,78.0,kurnool_dinedevarapadu,,,-4.3111994,-140.0796426,0.9581640221127069,Healthy,0.0
1979-02-16,2.8684528,304.16116,299.35727,293.74142,82.93681,32.520184,0.35,4.886975,18300000.0,18.072407,26.8821,15.8,78.0,kurnool_dinedevarapadu,,,-4.536975,-139.75522800000002,0.9717803836775812,Healthy,0.0
1979-02-17,3.0325112,305.4311,299.44247,292.78403,81.68942,24.204262,0.0,5.7734885,22300000.0,15.556319,32.75193,15.8,78.0,kurnool_dinedevarapadu,,,-5.7734885,-140.738183,0.9300972306168951,Healthy,0.0
1979-02-18,3.4991677,305.5736,299.60214,293.1495,85.520905,26.473093,0.0,5.7888927,22500000.0,18.763117,29.934732,15.8,78.0,kurnool_dinedevarapadu,,,-5.7888927,-143.0679753,0.8259790400073822,Healthy,0.0
1979-02-19,2.9487336,306.87933,301.1507,295.90475,85.02366,27.537035,0.43,5.463074,20100000.0,20.88561,31.510595,15.8,78.0,kurnool_dinedevarapadu,,,-5.033074,-144.34520930000002,0.7654971781860912,Healthy,0.0
1979-02-20,1.9583559,306.82483,301.24673,295.11688,81.66465,22.593111,0.0,5.34009,22600000.0,17.33001,34.907066,15.8,78.0,kurnool_dinedevarapadu,,,-5.34009,-145.021418,0.7324370549612874,Healthy,0.0
1979-02-21,1.9666917,307.48587,301.60458,295.059,86.05255,22.159624,0.0,5.3849616,22600000.0,17.687292,36.508194,15.8,78.0,kurnool_dinedevarapadu,,,-5.3849616,-145.3911079,0.7140481202652051,Healthy,0.0
1979-02-22,2.267897,307.86118,301.8915,294.85315,76.92103,19.575285,0.0,5.544929,21800000.0,17.642498,37.692944,15.8,78.0,kurnool_dinedevarapadu,,,-5.544929,-146.2812484,0.6688326777088738,Healthy,0.0
1979-02-23,2.0289083,307.34927,301.63135,295.07745,77.91495,25.1574,0.31,5.176936,20800000.0,18.696056,35.089607,15.8,78.0,kurnool_dinedevarapadu,,,-4.866936000000001,-147.1737394,0.6221246915741384,Healthy,0.0
1979-02-24,1.9453866,307.09778,301.15475,296.0092,79.962524,18.177109,0.65,5.3032265,21200000.0,15.905381,37.132763,15.8,78.0,kurnool_dinedevarapadu,,,-4.6532265,-146.8969165,0.6367623065468835,Healthy,0.0
1979-02-25,2.0361638,307.12418,300.38553,294.09058,70.26951,17.497843,0.0,5.660949,23500000.0,12.547626,40.56856,15.8,78.0,kurnool_dinedevarapadu,,,-5.660949,-147.599322,0.5993526415350823,Healthy,0.0
1979-02-26,2.8320177,306.1743,300.3907,294.21985,85.30753,28.813673,0.21,5.429785,20900000.0,19.504831,30.865236,15.8,78.0,kurnool_dinedevarapadu,,,-5.219785,-147.566771,0.6011059745031386,Healthy,0.0
