valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,2.1847258,304.899,299.26404,293.39868,85.06788,32.54434,0.0,4.714493,20576552.0,18.29883,28.57863,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.714493,-137.07320860000002,-0.37351741766058544,Moderate,1.0
1979-01-31,3.7659907,305.56714,299.66986,293.6669,86.73521,31.205395,0.0,5.7350454,20819864.0,18.12831,30.551802,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-5.7350454,-138.6682956,-0.5121401450471821,Moderate,1.0
1979-02-01,2.1728272,305.20102,299.7645,294.9876,84.38147,29.081362,0.01,4.9251866,20950130.0,17.617466,30.067566,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.9151866,-139.2804026,1.0280707635408326,Healthy,0.0
1979-02-02,2.1959162,305.21185,299.72577,293.8713,95.955414,34.222538,0.01,4.7404366,20641568.0,19.637566,28.076641,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.7304366,-139.80045049999998,1.0103512460954194,Healthy,0.0
1979-02-03,3.1026251,304.23065,299.12262,295.09744,79.85163,40.11148,0.52,4.969193,18959224.0,19.476744,25.65589,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.449192999999999,-139.9223395,1.0061636498974866,Healthy,0.0
1979-02-04,4.1838884,303.59274,298.54163,293.54398,91.990295,36.31122,0.02,4.871954,15923701.0,19.306223,24.213934,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.851954,-140.44274810000002,0.9881350436790441,Healthy,0.0
1979-02-05,4.2186055,303.27786,298.3162,294.4194,89.244125,40.43029,0.28,4.783331,16106048.0,20.342714,22.400126,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.503331,-140.2558463,0.9946379653312111,Healthy,0.0
1979-02-06,4.230098,303.44186,298.52896,294.2293,93.62457,39.17339,0.38,4.5067706,14423902.0,21.0236,22.12258,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.1267706,-140.0131482,1.0030352489848502,Healthy,0.0
1979-02-07,3.6135144,303.96353,298.85672,293.7439,95.511055,33.521885,0.01,5.235971,20144332.0,19.108553,25.34265,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-5.225971,-141.1481206,0.963305136895734,Healthy,0.0
1979-02-08,3.1598897,304.425,299.4429,293.95053,92.55865,34.70518,0.02,5.0168376,20309948.0,20.489721,25.144342,15.60000000000423,78.09999999998536,kurnool_pulliah,,,-4.9968376,-141.9496748,0.9345252734902704,Healthy,0.0
