valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,2.1555111,303.7557,297.7842,291.69095,76.8082,34.185772,0.0,4.6128983,20200000.0,16.07651,27.850744,13.8,77.6,lepakshi,0.43320134,,-4.6128983,-138.6149287,-1.2298473827066219,Moderate,1.0
1979-01-31,2.5475278,305.05307,299.0643,292.1188,81.75662,31.77584,0.07,5.106504,20900000.0,16.234016,31.053928,13.8,77.6,lepakshi,0.3311947,,-5.036504,-139.4148581,-1.3039944278193931,Moderate,1.0
1979-02-01,1.7637477,304.68524,298.52798,292.1663,81.78212,31.252954,0.0,4.670697,21600000.0,16.13831,30.17487,13.8,77.6,lepakshi,0.17416304,,-4.670697,-139.8312574,0.7312779045497136,Healthy,0.0
1979-02-02,2.4450426,305.42432,299.31183,291.9467,87.9127,27.921412,0.0,5.225558,22000000.0,16.005514,32.284286,13.8,77.6,lepakshi,0.13512017,,-5.225558,-140.83062940000002,0.6884766773592617,Healthy,0.0
1979-02-03,2.5055087,304.5802,298.5869,293.67194,65.925476,31.6862,0.01,5.0815196,20500000.0,16.062939,29.97509,13.8,77.6,lepakshi,0.4525424,,-5.0715196,-141.677474,0.6512324912523042,Healthy,0.0
1979-02-04,3.6411915,303.65335,297.4139,290.5311,90.76962,33.278736,0.01,5.330205,21200000.0,16.660698,27.010471,13.8,77.6,lepakshi,0.1834272,,-5.3202050000000005,-142.63212230000002,0.6081362940786343,Healthy,0.0
1979-02-05,3.5084734,303.87036,297.2802,290.4202,93.83092,29.752192,0.0,5.5902953,22700000.0,15.729158,28.486483,13.8,77.6,lepakshi,0.075923495,,-5.5902953,-143.6494749,0.5608683145426763,Healthy,0.0
1979-02-06,3.2774184,304.17752,297.6213,290.34085,92.349815,28.464094,0.0,5.4229484,22500000.0,16.48005,28.51633,13.8,77.6,lepakshi,0.14606382,,-5.4229484,-144.69196829999998,0.510944197979982,Healthy,0.0
1979-02-07,2.4915643,304.68692,298.49075,291.8172,93.992516,27.447416,0.0,5.167587,22000000.0,16.084469,30.233128,13.8,77.6,lepakshi,0.37109765,,-5.167587,-145.5798197,0.46719661394464124,Healthy,0.0
1979-02-08,2.8132339,304.79984,299.29065,292.34467,85.60246,28.95903,0.0,5.117019,20100000.0,17.0224,29.592571,13.8,77.6,lepakshi,0.31567472,,-5.117019,-146.44262170000002,0.42356517143936,Healthy,0.0
1979-02-09,2.3388314,304.80344,299.27863,293.3026,80.39375,29.202133,0.1,4.988627,20900000.0,17.387281,29.237204,13.8,77.6,lepakshi,0.42022762,,-4.8886270000000005,-146.8088254,0.4047053995096925,Healthy,0.0
1979-02-10,2.628194,302.86713,298.63,293.1283,87.55951,37.046013,0.32,4.4164176,17700000.0,18.417738,23.32932,13.8,77.6,lepakshi,0.26737788,,-4.0964176,-146.3743187,0.42706014459393116,Healthy,0.0
1979-02-11,2.7690566,302.2357,298.15784,293.22318,89.875114,40.620663,0.68,4.343411,17700000.0,18.848421,21.407156,13.8,77.6,lepakshi,0.29676884,,-3.6634109999999995,-145.5001292,0.4711704194894318,Healthy,0.0
1979-02-12,2.113762,302.9755,297.453,292.36954,91.22464,36.01982,0.57,4.2839007,18500000.0,18.117867,23.889954,13.8,77.6,lepakshi,0.46554002,,-3.7139007000000004,-144.5908789,0.5158527574662675,Healthy,0.0
1979-02-13,2.1821191,303.04996,297.48917,292.5235,90.744576,34.84638,0.6,4.338722,18400000.0,17.908504,24.279293,13.8,77.6,lepakshi,0.44917017,,-3.7387219999999997,-143.5952749,0.5634222477452482,Healthy,0.0
1979-02-14,3.1570091,302.82617,298.07367,292.22675,86.35496,37.00448,0.32,4.7959642,18500000.0,17.554386,24.094505,13.8,77.6,lepakshi,0.49199697,,-4.4759642,-143.26118209999998,0.5790754841347908,Healthy,0.0
1979-02-15,2.481616,303.566,298.0804,292.16113,89.90803,34.34308,0.09,4.653134,18800000.0,17.149237,26.304453,13.8,77.6,lepakshi,0.3777753,,-4.563134,-143.0015831,0.591133071652996,Healthy,0.0
1979-02-16,2.0072975,301.99524,297.627,292.2879,86.32228,41.3028,0.82,4.155547,18000000.0,16.887646,22.812279,13.8,77.6,lepakshi,0.39287385,,-3.3355470000000005,-141.7459288,0.6481818233123278,Healthy,0.0
1979-02-17,2.7187412,304.1352,297.58694,290.80023,89.7997,23.382597,0.0,5.5062714,23000000.0,13.9366865,30.951385,13.8,77.6,lepakshi,0.09474884,,-5.5062714,-142.38572820000002,0.6193742703196033,Healthy,0.0
1979-02-18,3.492725,305.1874,298.21027,290.4785,97.07092,23.620272,0.0,5.8853545,24000000.0,17.209871,30.438509,13.8,77.6,lepakshi,0.2198703,,-5.8853545,-143.7797674,0.5547121948622503,Healthy,0.0
1979-02-19,2.6364396,303.21564,297.6646,293.34756,88.043686,43.823307,2.06,4.1806498,16900000.0,20.996696,21.593975,13.8,77.6,lepakshi,0.53811544,,-2.1206498000000003,-142.0579714,0.6341987304133065,Healthy,0.0
1979-02-20,2.3329635,303.5767,297.8572,292.86746,89.99257,37.90099,0.8,4.522397,19300000.0,19.624903,23.85533,13.8,77.6,lepakshi,0.56664985,,-3.722397,-140.5360459,0.7012208255423775,Healthy,0.0
1979-02-21,1.8987591,305.22922,299.1841,292.67505,96.58143,32.846077,0.01,4.8166003,22000000.0,18.37753,29.383507,13.8,77.6,lepakshi,0.18371095,,-4.8066003,-140.56184159999998,0.7001091661331362,Healthy,0.0
1979-02-22,2.348999,305.06744,299.62955,293.49924,90.38547,29.478891,0.03,4.888349,19900000.0,18.546621,28.779768,13.8,77.6,lepakshi,0.27942464,,-4.858349,-140.58767459999999,0.6989950740150394,Healthy,0.0
1979-02-23,2.4474204,304.5135,299.2243,293.25247,88.52897,31.076645,0.07,4.8673663,19600000.0,18.39031,27.473707,13.8,77.6,lepakshi,0.30627954,,-4.797366299999999,-140.45486290000002,0.7047140221152315,Healthy,0.0
1979-02-24,1.8123095,302.96045,298.26532,293.4064,90.19202,34.607376,0.93,4.2368407,18400000.0,18.425411,23.546112,13.8,77.6,lepakshi,0.37680098,,-3.3068407,-138.6708856,0.7794687972018387,Healthy,0.0
1979-02-25,2.0112264,304.51627,298.6091,292.09085,88.64249,21.31931,0.0,5.416524,24400000.0,13.220958,32.65031,13.8,77.6,lepakshi,0.17480448,,-5.416524,-138.88328900000002,0.7707655775237539,Healthy,0.0
1979-02-26,2.4815655,305.02795,299.2418,292.6252,86.58882,22.526663,0.02,5.273933,20900000.0,16.069849,31.150972,13.8,77.6,lepakshi,0.24364643,,-5.253933000000001,-138.935927,0.7686006540148284,Healthy,0.0
1979-02-27,2.4493425,303.28885,297.90695,292.3422,88.37482,28.402586,0.04,4.994171,20100000.0,14.927755,27.842009,13.8,77.6,lepakshi,0.37798822,,-4.954171,-139.0803894,0.7626425430276704,Healthy,0.0
1979-02-28,2.9900284,303.0982,297.40002,291.97986,94.6705,30.361607,0.05,5.1667223,20600000.0,16.254904,26.049868,13.8,77.6,lepakshi,0.21254236,,-5.1167223,-139.4561344,0.7470308800249745,Healthy,0.0
1979-03-01,3.7015562,304.12457,297.09644,291.60846,81.36699,17.598867,0.0,6.5965734,24800000.0,12.017093,32.843838,13.8,77.6,lepakshi,0.08528282,,-6.5965734,-141.4398095,1.4957016946529897,Healthy,0.0
1979-03-02,3.5989869,303.163,296.30734,288.36362,77.04214,23.940634,0.0,6.134333,25300000.0,12.722145,29.740162,13.8,77.6,lepakshi,0.06343272,,-6.134333,-142.53763849999999,1.4721422446047532,Healthy,0.0
1979-03-03,3.5065515,303.94055,297.3707,289.8037,99.11403,28.171839,0.0,5.8789635,24100000.0,15.47533,28.917667,13.8,77.6,lepakshi,0.18685788,,-5.8789635,-143.745905,1.445618655224023,Healthy,0.0
1979-03-04,3.0724313,304.258,297.6757,290.22937,94.861145,25.999943,0.0,5.94154,25100000.0,14.845678,30.357218,13.8,77.6,lepakshi,0.056239363,,-5.94154,-144.461887,1.4295978534382279,Healthy,0.0
1979-03-05,2.8772576,305.5495,298.69092,290.7391,99.14386,19.536295,0.0,5.9524045,24800000.0,15.987805,32.643944,13.8,77.6,lepakshi,0.17712846,,-5.9524045,-145.3427719,1.409567247183635,Healthy,0.0
1979-03-06,2.8049212,306.1741,299.71017,292.39664,90.20385,21.93264,0.0,6.2196507,25100000.0,15.238109,35.131428,13.8,77.6,lepakshi,0.3677329,,-6.2196507,-146.24221759999998,1.3887400047892058,Healthy,0.0
1979-03-07,2.52146,307.1296,300.63174,293.12808,83.48261,16.490324,0.0,6.218735,24800000.0,14.206487,38.925777,13.8,77.6,lepakshi,0.24551183,,-6.218735,-146.8706573,1.3739572718375586,Healthy,0.0
1979-03-08,2.6099162,306.00192,300.72137,293.9885,79.092995,25.028217,0.0,5.68468,21700000.0,16.184444,33.700752,13.8,77.6,lepakshi,0.32191145,,-5.68468,-147.13238890000002,1.367743426248328,Healthy,0.0
1979-03-09,2.826858,306.31937,300.49268,294.7087,76.7694,19.282246,0.0,6.4782176,24600000.0,12.900524,37.88082,13.8,77.6,lepakshi,0.20975044,,-6.4782176,-148.4430195,1.3361088751265382,Healthy,0.0
1979-03-10,1.9906721,306.7402,300.66797,293.00366,53.425938,19.453941,0.0,5.8471403,24900000.0,12.265676,39.72521,13.8,77.6,lepakshi,0.06865708,,-5.8471403,-149.1731408,1.3181010280164016,Healthy,0.0
1979-03-11,2.5816054,306.4905,299.5217,292.9583,81.791245,17.50071,0.0,6.4738207,25900000.0,11.138348,40.1319,13.8,77.6,lepakshi,0.045525458,,-6.4738207,-150.7583345,1.2780143075285273,Healthy,0.0
1979-03-12,2.6298635,306.8434,299.07764,290.04172,60.600357,9.843251,0.0,6.662989,26500000.0,8.355285,43.936012,13.8,77.6,lepakshi,0.04422711,,-6.662989,-153.3249059,1.2100673313330432,Healthy,0.0
1979-03-13,2.4950714,307.04495,299.5418,291.82166,66.61376,13.390517,0.0,6.5151095,26200000.0,10.109935,42.772358,13.8,77.6,lepakshi,0.044193465,,-6.5151095,-156.1766044,1.129772673607377,Healthy,0.0
1979-03-14,2.704038,307.44217,300.18253,291.78323,69.803764,14.270385,0.0,6.7299185,26200000.0,10.695764,43.368317,13.8,77.6,lepakshi,0.0445746,,-6.7299185,-159.1926222,1.0387602081714802,Healthy,0.0
1979-03-15,3.1320202,308.22928,300.98373,293.16467,70.951,13.430045,0.0,7.2205977,26200000.0,11.508111,44.96558,13.8,77.6,lepakshi,0.046618395,,-7.2205977,-162.6744979,0.9249485522318501,Healthy,0.0
1979-03-16,3.1601791,308.59033,301.40106,293.58127,65.10496,15.160896,0.0,7.2790203,26100000.0,11.964324,45.64543,13.8,77.6,lepakshi,0.04492209,,-7.2790203,-165.477554,0.8256843354687269,Healthy,0.0
1979-03-17,2.7661731,308.76602,301.48935,292.6733,70.186424,12.371045,0.0,7.0039663,26400000.0,11.70793,46.4618,13.8,77.6,lepakshi,0.24180269,,-7.0039663,-167.91838629999998,0.7330616054482856,Healthy,0.0
1979-03-18,2.741926,308.79105,301.76624,294.06378,63.540844,12.243734,0.0,7.0708914,26400000.0,10.69227,47.55761,13.8,77.6,lepakshi,0.579743,,-7.0708914,-171.6537307,0.578863284544446,Healthy,0.0
1979-03-19,2.4585493,308.57684,302.03378,294.34448,59.84594,17.420784,0.0,6.6590304,25900000.0,13.192242,44.374725,13.8,77.6,lepakshi,0.12330488,,-6.6590304,-172.8064897,0.5279567389869593,Healthy,0.0
1979-03-20,3.0171757,309.14166,302.32004,294.8745,64.57315,13.676148,0.0,7.3682175,26400000.0,11.721561,47.66125,13.8,77.6,lepakshi,0.07540598,,-7.3682175,-174.2893527,0.4599945899269186,Healthy,0.0
1979-03-21,2.6935163,308.98947,301.9121,294.1205,70.08965,13.244042,0.0,7.071246,26500000.0,11.340749,47.547997,13.8,77.6,lepakshi,0.06235125,,-7.071246,-179.2399489,0.21115212985368995,Healthy,0.0
1979-03-22,2.4883773,308.70438,301.6553,294.0527,55.509403,16.478954,0.0,6.8088045,26300000.0,11.597993,46.374718,13.8,77.6,lepakshi,0.050959185,,-6.8088045,-182.3263564,0.03722285936446665,Healthy,0.0
1979-03-23,3.139608,308.9775,301.62323,294.3425,72.41248,11.895542,0.0,7.4526205,26600000.0,12.116827,46.733215,13.8,77.6,lepakshi,0.05721851,,-7.4526205,-184.97237660000002,-0.12447252762104585,Moderate,1.0
1979-03-24,2.8338892,308.18732,301.337,293.874,68.670296,12.139007,0.0,7.130524,26800000.0,10.995889,45.34701,13.8,77.6,lepakshi,0.059262305,,-7.130524,-187.2445516,-0.2731218136894102,Moderate,1.0
1979-03-25,2.339472,308.1526,301.4614,294.01886,71.5591,14.758661,0.0,6.6433926,26600000.0,11.897551,44.33731,13.8,77.6,lepakshi,0.4350078,,-6.6433926,-189.09057790000003,-0.40082240114141715,Moderate,1.0
1979-03-26,2.7373059,308.4789,302.02856,294.75717,61.94393,15.753181,0.0,7.0499706,26400000.0,11.858104,45.398983,13.8,77.6,lepakshi,0.49415404,,-7.0499706,-192.8337078,-0.6795942694468341,Moderate,1.0
1979-03-27,2.8760097,308.9293,302.5114,295.33682,63.10062,12.716146,0.0,7.358669,26900000.0,10.931759,47.762566,13.8,77.6,lepakshi,0.09901699,,-7.358669,-194.7758528,-0.8351288580339344,Moderate,1.0
1979-03-28,2.5803406,308.9543,302.8338,295.6654,52.813984,17.542004,0.0,6.861526,25300000.0,12.366202,46.408894,13.8,77.6,lepakshi,0.20350923,,-6.861526,-196.3834458,-0.9697883957581881,Moderate,1.0
1979-03-29,2.447707,307.9094,302.03125,296.67075,46.42519,18.62075,0.0,6.588694,24100000.0,11.325009,44.158394,13.8,77.6,lepakshi,0.33992845,,-6.588694,-198.0179688,-1.1124960202623684,Moderate,1.0
1979-03-30,2.3430634,308.38635,301.45615,293.21536,60.358673,16.588808,0.0,6.667625,26200000.0,10.99844,45.967064,13.8,77.6,lepakshi,0.18494062,,-6.667625,-199.5688715,-1.2536826967088395,Moderate,1.0
1979-03-31,2.2282863,308.8722,301.9564,294.70334,60.040028,13.451621,0.0,6.757996,26800000.0,9.753082,48.7573,13.8,77.6,lepakshi,0.3079072,,-6.757996,-199.7302941,-1.2687209990358554,Moderate,1.0
1979-04-01,2.8292692,308.81976,303.35413,296.56918,65.22695,15.559737,0.0,7.0857873,25100000.0,12.798586,45.543365,13.8,77.6,lepakshi,0.16637202,,-7.0857873,-200.6817484,-0.6151743117577098,Moderate,1.0
1979-04-02,3.4582424,309.90817,303.4063,296.29303,59.536564,11.447271,0.0,8.106064,27000000.0,11.093833,50.832542,13.8,77.6,lepakshi,0.12474927,,-8.106064,-202.9088489,-0.7645147941217522,Moderate,1.0
