valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude,field,Cloud_Cover_Mean_24h,Dew_Point_Temperature_2m_Mean_24h,Water_Balance,WB30,SPEI,drought_class,label
1979-01-30,1.3972479,303.67355,297.901,291.5487,82.06764,34.191895,0.0,4.249228,21000000.0,16.456287,27.265335,13.8,77.0,sira,,,-4.249228,-138.4185575,-0.7657639173763107,Moderate,1.0
1979-01-31,1.9385316,305.02252,298.79645,291.9348,79.02093,32.815525,0.0,4.786505,21600000.0,16.229847,30.976475,13.8,77.0,sira,,,-4.786505,-138.9152375,-0.8095934395493054,Moderate,1.0
1979-02-01,1.7582994,304.62115,298.64722,292.1286,89.401794,32.299507,0.01,4.574143,21100000.0,17.101025,29.044102,13.8,77.0,sira,,,-4.5641430000000005,-139.10685,0.8580395798445037,Healthy,0.0
1979-02-02,1.626141,305.29483,299.2935,291.5568,82.422195,30.135756,0.0,4.6773715,21900000.0,15.9865,31.951813,13.8,77.0,sira,,,-4.6773715,-139.4819445,0.8426596699751189,Healthy,0.0
1979-02-03,2.7087085,304.4929,298.85266,293.52896,72.66657,32.63841,0.04,5.2336345,21300000.0,16.623487,29.186926,13.8,77.0,sira,,,-5.1936345,-140.2117094,0.8122563830482395,Healthy,0.0
1979-02-04,3.2600136,304.4635,298.36807,291.39615,88.092094,30.460316,0.0,5.4894013,21900000.0,16.125391,29.608622,13.8,77.0,sira,,,-5.4894013,-141.2727493,0.7668852435258613,Healthy,0.0
1979-02-05,2.9073918,304.3489,297.98883,291.25485,87.21186,25.739054,0.0,5.487575,22600000.0,14.918812,30.518372,13.8,77.0,sira,,,-5.487575,-142.0356513,0.7333794915028385,Healthy,0.0
1979-02-06,2.4666116,304.5665,298.02856,290.29446,90.150925,23.793762,0.0,5.200535,22700000.0,15.36683,30.635418,13.8,77.0,sira,,,-5.200535,-142.74787830000002,0.701410052651607,Healthy,0.0
1979-02-07,2.0239472,304.7109,298.3764,291.59265,97.279305,26.93041,0.0,4.8633685,21900000.0,16.66137,29.719254,13.8,77.0,sira,,,-4.8633685,-143.3435175,0.6741489606565857,Healthy,0.0
1979-02-08,1.7936096,304.6397,299.17322,291.85056,87.10073,30.538143,0.0,4.6432796,21100000.0,17.22342,28.970303,13.8,77.0,sira,,,-4.6432796,-143.64528869999998,0.6601513127420829,Healthy,0.0
